image_name,width,height,x0,y0,x1,y1,out_of_bounds,bbox_width,bbox_height,bbox_area
00001722.jpg,1333,2000,490,320,687,664,False,197,344,67768
00001044.jpg,2000,1333,791,119,1200,436,False,409,317,129653
00001050.jpg,667,1000,304,155,407,331,False,103,176,18128
00001736.jpg,626,417,147,14,519,303,False,372,289,107508
00003121.jpg,626,418,462,60,599,166,False,137,106,14522
00003121.jpg,626,418,316,157,441,254,False,125,97,12125
00003121.jpg,626,418,35,71,160,168,False,125,97,12125
00003121.jpg,626,418,254,94,376,187,False,122,93,11346
00003121.jpg,626,418,166,118,306,226,False,140,108,15120
00000400.jpg,600,400,148,61,377,242,False,229,181,41449
00002571.jpg,960,720,117,159,317,334,False,200,175,35000
00002571.jpg,960,720,596,203,772,354,False,176,151,26576
00000366.jpg,900,601,170,88,506,350,False,336,262,88032
00000366.jpg,900,601,303,2,639,144,False,336,142,47712
00002565.jpg,1267,712,241,40,963,513,False,722,473,341506
00001939.jpg,612,424,195,57,383,209,False,188,152,28576
00001087.jpg,1024,683,405,27,614,189,False,209,162,33858
00001093.jpg,821,1300,290,28,392,211,False,102,183,18666
00001905.jpg,612,408,137,20,394,224,False,257,204,52428
00001911.jpg,792,463,317,187,442,272,False,125,85,10625
00001911.jpg,792,463,386,110,570,236,False,184,126,23184
00001911.jpg,792,463,231,42,411,165,False,180,123,22140
00002997.jpg,882,588,269,245,363,318,False,94,73,6862
00002997.jpg,882,588,372,23,484,109,False,112,86,9632
00002997.jpg,882,588,567,113,682,202,False,115,89,10235
00003451.jpg,236,354,87,46,131,121,False,44,75,3300
00001246.jpg,600,419,210,32,361,158,False,151,126,19026
00001520.jpg,1098,732,684,251,987,486,False,303,235,71205
00001520.jpg,1098,732,34,195,344,435,False,310,240,74400
00001520.jpg,1098,732,375,279,678,509,False,303,230,69690
00001520.jpg,1098,732,486,239,796,474,False,310,235,72850
00001520.jpg,1098,732,913,215,1097,446,False,184,231,42504
00002029.jpg,345,520,149,66,207,167,False,58,101,5858
00003337.jpg,500,500,173,8,252,100,False,79,92,7268
00003337.jpg,500,500,176,219,248,304,False,72,85,6120
00003337.jpg,500,500,24,298,82,365,False,58,67,3886
00003323.jpg,408,612,170,77,247,208,False,77,131,10087
00001252.jpg,343,280,144,31,211,94,False,67,63,4221
00002983.jpg,1200,939,435,149,553,254,False,118,105,12390
00002983.jpg,1200,939,315,146,418,237,False,103,91,9373
00003445.jpg,236,314,44,21,95,97,False,51,76,3876
00002015.jpg,684,1024,147,71,528,720,False,381,649,247269
00000602.jpg,1300,956,368,184,622,402,False,254,218,55372
00000602.jpg,1300,956,696,360,980,608,False,284,248,70432
00000602.jpg,1300,956,900,461,1154,684,False,254,223,56642
00000602.jpg,1300,956,52,329,435,656,False,383,327,125241
00000602.jpg,1300,956,726,149,954,345,False,228,196,44688
00000616.jpg,910,607,458,373,644,514,False,186,141,26226
00002001.jpg,1500,1120,564,1,960,328,False,396,327,129492
00002767.jpg,900,600,240,36,864,531,False,624,495,308880
00000170.jpg,626,418,299,72,368,127,False,69,55,3795
00000170.jpg,626,418,363,155,442,217,False,79,62,4898
00000170.jpg,626,418,421,38,499,98,False,78,60,4680
00000170.jpg,626,418,294,134,369,192,False,75,58,4350
00002954.jpg,866,1300,166,448,355,778,False,189,330,62370
00002954.jpg,866,1300,339,62,528,384,False,189,322,60858
00002954.jpg,866,1300,553,505,726,801,False,173,296,51208
00003492.jpg,236,354,101,26,145,103,False,44,77,3388
00000825.jpg,367,550,161,32,236,163,False,75,131,9825
00000831.jpg,800,450,154,7,685,362,False,531,355,188505
00002798.jpg,1000,667,106,332,264,454,False,158,122,19276
00002798.jpg,1000,667,577,288,735,410,False,158,122,19276
00002798.jpg,1000,667,405,316,550,428,False,145,112,16240
00002798.jpg,1000,667,263,334,390,435,False,127,101,12827
00002798.jpg,1000,667,764,322,918,442,False,154,120,18480
00002940.jpg,1062,1092,386,360,481,474,False,95,114,10830
00002940.jpg,1062,1092,574,361,678,488,False,104,127,13208
00003486.jpg,236,157,64,24,169,106,False,105,82,8610
00000819.jpg,1024,683,289,20,640,292,False,351,272,95472
00001332.jpg,600,620,237,2,376,167,False,139,165,22935
00000992.jpg,1125,750,479,194,694,357,False,215,163,35045
00003243.jpg,500,488,157,284,215,350,False,58,66,3828
00000986.jpg,1600,900,832,488,1380,854,False,548,366,200568
00000986.jpg,1600,900,158,347,786,748,False,628,401,251828
00001440.jpg,3850,2567,1204,564,2289,1406,False,1085,842,913570
00001326.jpg,626,417,130,35,303,172,False,173,137,23701
00002607.jpg,626,417,279,48,456,185,False,177,137,24249
00002607.jpg,626,417,93,109,281,255,False,188,146,27448
00002607.jpg,626,417,368,144,560,293,False,192,149,28608
00002607.jpg,626,417,208,177,397,323,False,189,146,27594
00002161.jpg,1000,730,70,140,172,227,False,102,87,8874
00002161.jpg,1000,730,407,101,505,182,False,98,81,7938
00002161.jpg,1000,730,273,283,371,364,False,98,81,7938
00001468.jpg,600,419,276,55,589,309,False,313,254,79502
00000762.jpg,800,583,482,22,622,141,False,140,119,16660
00002613.jpg,2000,1333,369,324,984,800,False,615,476,292740
00002613.jpg,2000,1333,876,381,1465,838,False,589,457,269173
00000004.jpg,1000,1241,476,177,588,335,False,112,158,17696
00000789.jpg,2000,3019,735,296,1171,1062,False,436,766,333976
00000951.jpg,1356,1681,376,164,619,516,False,243,352,85536
00001497.jpg,600,336,125,26,344,172,False,219,146,31974
00001483.jpg,960,580,156,4,860,489,False,704,485,341440
00002808.jpg,500,333,179,59,336,183,False,157,124,19468
00003041.jpg,800,533,312,64,639,323,False,327,259,84693
00003041.jpg,800,533,145,149,444,376,False,299,227,67873
00000548.jpg,508,339,395,100,506,188,False,111,88,9768
00000548.jpg,508,339,78,1,179,76,False,101,75,7575
00000548.jpg,508,339,389,16,499,102,False,110,86,9460
00000548.jpg,508,339,141,67,267,164,False,126,97,12222
00000548.jpg,508,339,268,2,381,86,False,113,84,9492
00000548.jpg,508,339,239,90,347,174,False,108,84,9072
00000548.jpg,508,339,2,35,130,159,False,128,124,15872
00000548.jpg,508,339,199,1,305,69,False,106,68,7208
00001656.jpg,650,433,329,16,443,105,False,114,89,10146
00001130.jpg,867,1300,131,1,442,422,False,311,421,130931
00001124.jpg,500,333,81,1,412,183,False,331,182,60242
00001642.jpg,1125,750,452,219,677,393,False,225,174,39150
00003055.jpg,1300,957,191,187,527,475,False,336,288,96768
00003055.jpg,1300,957,689,162,979,416,False,290,254,73660
